"price","square_feet","bedrooms","bathrooms","cityname","state"
1900,275,0,1,323,5
1505,275,1,1,794,5
900,275,1,1,524,4
892,275,0,1,273,15
705,275,1,1,280,37
1240,280,1,1,1063,21
870,285,1,1,35,1
1095,286,0,1,273,15
1350,288,0,1,1287,49
865,288,1,1,1030,40
690,288,1,1,1388,10
1099,290,0,1,1137,39
700,290,1,1,906,24
850,296,0,1,654,13
2200,300,0,1,1073,5
2112,300,1,1,1160,32
1868,300,1,1,919,5
1785,300,1,1,460,7
1575,300,1,1,794,5
1534,300,1,1,509,21
1470,300,1,1,820,7
1470,300,1,1,529,21
1470,300,1,1,306,21
1425,300,2,1,179,36
1386,300,1,1,771,21
1195,300,0,1,1287,49
995,300,1,1,273,15
975,300,0,1,786,5
911,300,1,1,273,15
900,300,0,1,70,45
800,300,1,1,482,6
800,300,1,1,364,11
795,300,1,1,370,6
795,300,1,1,1272,10
775,300,1,1,904,50
760,300,0,1,273,15
750,300,1,1,1492,10
725,300,1,1,1407,41
700,300,1,1,1359,11
650,300,1,1,307,37
595,300,1,1,549,6
590,300,1,1,139,16
590,300,2,1,139,16
585,300,2,1,139,16
580,300,2,1,251,15
400,300,1,1,1158,28
1195,301,1,1,1179,35
1094,306,1,1,1179,35
725,308,0,1,1505,16
1099,309,0,1,1137,39
1222,310,2,1,799,20
2195,313,0,1,1249,5
760,313,1,1,648,16
650,314,2,1,1039,46
2695,315,0,1,1249,5
730,315,2,1,35,1
659,315,0,1,763,18
775,317,1,1,722,16
1350,318,0,1,271,21
1100,319,1,1,273,15
965,320,1,1,273,15
675,320,0,1,292,37
925,321,1,1,734,6
845,322,1,1,904,50
700,324,2,1,811,50
2700,325,2,1,147,20
1995,325,2,1,1175,5
1350,325,1,1,1287,49
1349,325,2,1,273,15
975,325,2,1,741,35
925,325,0,1,273,15
899,325,2,1,273,15
700,325,2,1,167,7
325,325,2,1,1408,37
915,330,1,1,370,6
799,330,0,1,1505,16
710,330,1,1,682,25
2695,332,2,1,1249,5
2295,332,1,1,1249,5
1079,333,2,1,370,6
1386,334,2,1,70,45
800,335,1,1,373,13
2195,336,0,1,1249,5
1100,336,2,1,1303,50
1099,336,1,1,1388,10
625,336,0,1,1420,4
809,337,2,1,70,45
2295,338,0,1,1249,5
1160,338,2,1,508,10
998,338,2,1,1481,50
990,338,2,1,1137,39
785,340,1,1,811,50
720,340,2,1,1505,16
1240,341,0,1,1396,4
2395,342,0,1,1249,5
480,342,2,1,722,16
800,344,0,1,263,44
1655,346,1,1,1287,49
899,346,1,1,906,24
600,347,1,1,1236,25
699,348,2,1,682,25
2195,350,0,1,1249,5
1670,350,2,1,40,23
1650,350,1,1,1250,5
1550,350,2,1,1470,8
1400,350,0,1,794,5
1299,350,0,1,1137,39
1299,350,0,1,1287,49
1200,350,2,1,594,20
1145,350,1,1,1101,40
1000,350,1,1,811,50
940,350,0,1,273,15
895,350,2,1,1515,37
875,350,0,1,70,45
800,350,1,1,273,15
710,350,0,1,1341,49
699,350,0,1,346,21
695,350,2,1,35,1
592,350,0,1,1420,4
1225,351,1,1,1137,39
1246,352,2,1,70,45
1225,352,0,1,794,5
675,354,1,1,752,25
1400,355,0,1,794,5
585,355,1,1,1434,15
1125,357,2,1,273,15
614,357,2,1,292,37
1225,360,2,1,406,32
875,360,2,1,1241,39
850,360,2,1,70,45
670,360,1,1,811,50
639,360,1,1,251,15
495,360,1,1,1423,38
1750,362,2,1,1470,8
1050,362,1,1,273,15
950,362,0,1,70,45
1200,367,2,1,1137,39
985,367,1,1,273,15
965,368,2,1,576,7
530,368,1,1,1009,23
1530,369,2,1,1287,49
1000,369,1,1,786,5
720,369,1,1,682,25
1225,370,0,1,970,32
1025,370,1,1,1137,39
765,370,1,1,26,45
1975,375,1,1,1269,5
1525,375,1,1,1248,5
1175,375,1,1,1137,39
940,375,2,1,70,45
850,375,1,1,1505,16
829,375,1,1,1102,4
799,375,0,1,1505,16
773,375,2,1,906,24
386,375,1,1,412,50
1400,377,2,1,884,10
3095,378,1,1,1249,5
1275,378,2,1,1137,39
929,378,0,1,70,45
1591,379,2,1,250,5
2895,380,1,1,1249,5
2695,380,0,1,1249,5
1400,380,0,1,1248,5
955,380,2,1,35,1
540,380,1,1,1420,4
2895,381,2,1,1249,5
2874,382,2,1,1249,5
635,382,2,1,705,44
902,384,1,1,273,15
2395,385,0,1,1249,5
1250,385,1,1,1137,39
540,385,1,1,139,16
350,385,1,1,248,18
1262,386,2,1,1137,39
1115,389,0,1,1137,39
2095,390,2,1,1148,41
1800,390,1,1,1470,8
879,390,2,1,1053,10
699,390,1,1,1505,16
640,390,1,1,1434,15
999,391,1,1,70,45
959,391,1,1,70,45
1654,393,0,1,1470,8
995,393,2,1,236,45
919,394,0,1,70,45
1350,395,0,1,794,5
1045,395,1,1,273,15
976,395,2,1,70,45
762,395,2,1,106,49
1050,396,1,1,70,45
1225,397,1,1,1137,39
2495,398,2,1,1249,5
1173,398,1,1,273,15
1005,398,2,1,70,45
1000,398,2,1,70,45
875,398,2,1,70,45
3000,400,2,1,356,10
2450,400,0,1,1269,5
2050,400,1,1,34,5
1659,400,0,1,1470,8
1625,400,1,1,65,49
1599,400,0,1,164,36
1500,400,1,1,1254,5
1500,400,1,1,34,5
1450,400,0,1,1248,5
1415,400,1,1,1258,5
1400,400,1,1,68,6
1395,400,1,1,40,23
1375,400,1,1,713,5
1355,400,1,1,105,5
1345,400,1,1,1470,8
1250,400,1,1,1326,20
1242,400,2,1,273,15
1225,400,1,1,1137,39
1215,400,1,1,1250,5
1200,400,1,1,1102,4
1160,400,1,1,811,50
1150,400,1,1,1060,21
1100,400,1,1,56,6
1100,400,1,1,1138,31
1099,400,2,1,1388,10
1095,400,1,1,70,45
1090,400,2,1,70,45
1085,400,2,1,70,45
1050,400,1,1,273,15
1045,400,2,1,70,45
1040,400,2,1,70,45
1035,400,1,1,1090,10
1012,400,2,1,68,6
1000,400,1,1,1101,40
1000,400,1,1,1384,49
995,400,1,1,906,24
975,400,3,1,70,45
975,400,0,1,70,45
975,400,1,1,1090,10
950,400,1,1,286,28
945,400,2,1,906,24
925,400,0,1,70,45
925,400,1,1,1216,11
925,400,1,1,986,31
919,400,1,1,1237,24
910,400,1,1,149,6
900,400,3,1,70,45
900,400,1,1,818,47
900,400,1,1,70,45
899,400,1,1,989,47
895,400,2,1,70,45
895,400,0,1,70,45
895,400,0,1,70,45
895,400,0,1,70,45
875,400,1,1,1403,6
875,400,2,1,70,45
875,400,1,1,567,39
865,400,1,1,1502,7
857,400,2,1,70,45
850,400,0,1,635,45
850,400,1,1,635,45
845,400,1,1,485,6
829,400,0,1,77,21
800,400,1,1,68,6
799,400,1,1,1505,16
799,400,2,1,273,15
750,400,0,1.5,741,35
720,400,2,1,480,24
720,400,1,1,307,37
700,400,1,1,788,6
700,400,1,1,370,6
695,400,2,1,211,45
691,400,1,1,662,10
690,400,1,1,884,10
660,400,1,1,139,16
615,400,0,1,1043,30
600,400,1,1,1002,10
600,400,1,1,370,6
599,400,2,1,722,16
500,400,0,1,563,28
499,400,1,1,1305,19
475,400,1,1,370,6
435,400,1,1,1570,37
425,400,2,1,908,29
300,400,2,1,1128,45
975,401,1,1,70,45
2460,402,2,1,208,20
1050,403,2,1,1482,50
1198,404,2,2,65,2
635,404,1,1,1420,4
1975,405,0,1,1326,20
1725,405,2,1,1285,5
1495,405,0,1,1470,8
1085,405,1,1,904,50
1085,405,0,1,370,6
780,405,3,1,1112,40
1670,406,1,1,794,5
1650,406,0,1,794,5
1025,406,2,1,251,15
950,407,0,1,1102,4
2495,408,0,1,1249,5
1225,408,0,1,970,32
1350,409,2,1,1286,49
950,409,1,1,567,39
1450,410,2,1,481,47
950,410,0,1,1112,40
925,410,2,1,70,45
925,410,1,1,70,45
859,410,2,1,70,45
695,410,1,1,1366,32
595,410,2,1,31,13
595,410,2,1,31,13
560,410,1,1,27,45
420,410,1,1,993,37
965,411,2,1,70,45
1115,412,2,1,1137,39
1039,413,1,1,273,15
1540,414,2,1,1470,8
1300,414,1,1,1137,39
895,414,2,1,70,45
750,414,1,1,682,25
715,414,2,1,997,47
1450,415,2,1,1257,5
1300,415,2,1,1101,40
1130,415,1,1,273,15
1015,415,1,1,273,15
999,415,2,1,70,45
699,415,0,1,129,2
699,415,0,1,129,2
650,415,1,1,462,3
1399,416,2,1,70,45
4000,417,2,1,1249,5
2013,418,3,1,1148,41
1294,418,2,1,957,44
1175,418,2,1,1137,39
875,418,2,1,682,25
2895,419,0,1,1249,5
1890,419,1,1,377,23
2100,420,1,1,794,5
1640,420,1,1,794,5
1255,420,1,1,794,5
1250,420,1,1,273,15
1050,420,1,1,273,15
999,420,1,1,1240,10
995,420,0,1,811,50
920,420,2,1,70,45
920,420,1,1,70,45
850,420,1,1,352,45
725,420,1,1,722,19
699,420,1,1,1505,16
600,420,2,1,139,16
569,420,3,1,139,16
560,420,1,1,1420,4
1295,422,1,1,1287,49
870,422,2,1,70,45
805,422,2,1,682,25
685,422,2,1,1101,40
1219,423,3,1,997,47
885,423,2,1,35,1
1570,425,0,1,1470,8
1405,425,2,1,700,49
1399,425,1,1,70,45
1350,425,0,1,794,5
1170,425,2,1,35,1
995,425,0,1,70,45
925,425,1,1,70,45
905,425,0,1,70,45
800,425,1,1,70,45
799,425,1,1,70,45
795,425,1,1,308,45
2135,426,1,1,1470,8
2060,426,1,1,147,20
1295,426,1,1,1137,39
1045,426,2,1,305,6
899,426,0,1,1420,4
814,426,1,1,273,15
1745,428,2,1,1413,5
1395,428,1,1,668,32
1249,428,2,1,273,15
1195,428,2,1,1137,39
785,428,3,1,280,37
699,428,1,1,1505,16
2695,429,0,1,1249,5
1325,430,1,1,273,15
1125,430,2,1,811,50
895,430,0,1,1112,40
895,430,1,1,977,7
845,430,1,1,977,7
800,430,2,1,70,45
775,430,2,1,977,7
775,430,2,1,977,7
765,430,2,1,977,7
765,430,2,1,977,7
650,430,0,1,682,25
645,430,1,1,11,37
1549,431,2,1,53,47
1530,431,2,1,1558,49
1500,431,0,1,1249,5
3095,432,1,1,1249,5
2509,432,1,1,1249,5
890,432,2,1,70,45
1895,433,2,1,1470,8
899,433,2,1,866,44
1645,434,2,1,70,45
1026,434,3,1,70,45
827,434,2,1,1040,38
1630,435,1,1,884,10
1250,435,2,1,1137,39
1150,435,2,1,1101,40
1344,436,1,1,496,20
895,437,0,1,70,45
1215,438,1,1,906,24
1100,438,1,1,1137,39
1040,438,2,1,280,37
2995,439,2,1,1249,5
949,440,3,1,1053,10
899,440,2,1,70,45
881,440,2,1,70,45
879,440,0,1,1102,4
835,440,1,1,263,44
740,440,1,1,1245,45
635,440,1,1,305,6
2795,441,1,1,1249,5
2295,441,1,1,1249,5
1270,441,2,1,1137,39
989,441,2,1,1219,45
1195,442,1,1,613,39
750,442,1,1,263,44
535,442,2,1,1426,45
535,442,2,1,1426,45
665,443,1,1,635,45
1250,444,1,1,1137,39
837,444,1,1,70,45
830,444,2,1,35,1
2341,445,2,1,1326,20
1295,445,0,1,1137,39
1175,445,1,1,273,15
1530,446,2,1,449,15
1325,446,1,1,1137,39
1099,446,2,1,1236,25
545,446,1,1,292,37
2895,447,1,1,1249,5
2195,447,0,1,1249,5
1684,447,2,1,70,45
1335,447,2,1,1287,49
895,447,1,1,521,45
775,447,1,1,251,15
675,447,1,1,352,45
2500,448,1,1,1249,5
1729,448,2,1,70,45
1688,448,2,1,70,45
739,448,2,1,682,25
950,449,1,1,377,23
820,449,2,1,305,6
3000,450,0,1,1276,5
1950,450,1,1,77,21
1818,450,2,1,1470,8
1795,450,0,1,786,5
1750,450,0,1,1031,5
1535,450,1,1,1470,8
1495,450,0,1,794,5
1475,450,2,1,1112,40
1365,450,1,1,273,15
1349,450,1,1,1388,10
1345,450,1,1,478,5
1299,450,2,1,906,24
1295,450,0,1,794,5
1225,450,1,1,303,45
1225,450,2,1,811,50
1200,450,2,1,104,49
1199,450,2,1,40,23
1195,450,1,1,162,49
1195,450,1,1,103,32
1095,450,2,1,904,50
1073,450,2,1,807,49
1069,450,1,1,906,24
1041,450,3,1,70,45
1000,450,0,1,1137,39
995,450,1,1,377,23
969,450,2,1,70,45
900,450,1,1,70,45
897,450,2,1,70,45
884,450,1,1,741,35
860,450,2,1,35,1
829,450,2,1,1240,10
799,450,2,1,1505,16
790,450,1,1,46,44
770,450,1,1,682,25
766,450,1,1,682,25
752,450,2,1,648,16
750,450,1,1,989,47
725,450,1,1,191,36
719,450,1,1,352,45
687,450,2,1,1086,45
675,450,1,1,210,32
655,450,1,1,280,37
650,450,2,1,682,25
635,450,3,1,989,47
600,450,1,1,251,15
595,450,0,1,1005,25
575,450,0,1,822,17
500,450,1,1,224,15
490,450,0,1,426,18
475,450,1,1,1075,45
2525,451,1,1,208,20
1818,451,0,1,1470,8
1483,451,3,1,1524,20
805,451,2,1,70,45
1796,452,1,1,1470,8
605,452,3,1,352,45
1722,453,1,1,70,45
1650,453,0,1,794,5
3595,454,1,1,1249,5
950,454,1,1,13,36
1250,455,1,1,1137,39
570,455,1,1,1420,4
550,455,0,1,1420,4
1830,456,2,1,1413,5
1795,456,2,1,1413,5
1612,456,2,1,1470,8
835,456,1,1,811,50
825,456,2,1,1232,46
825,456,1,1,880,4
550,456,1,1,120,23
1230,457,2,1,142,14
2395,458,1,1,1249,5
485,458,2,1,874,45
1275,459,1,1,1137,39
1135,459,2,1,77,21
700,459,3,1,31,13
1695,460,2,1,974,7
1469,460,1,1,447,39
1150,460,3,1,904,50
840,460,1,1,70,45
820,460,1,1,305,6
815,460,0,1,35,1
805,460,1,1,305,6
785,460,2,1,305,6
709,460,1,1,251,15
705,460,2,1,1535,40
525,460,1,1,908,29
1125,461,2,1,1490,49
1245,462,2,1,1243,46
600,462,1,1,1420,4
560,463,1,1,1420,4
1905,464,2,1,273,15
890,464,1,1,70,45
1510,465,2,1,16,47
1475,465,1,1,786,5
931,465,2,1,1318,11
840,465,1,1,280,37
695,465,2,1,530,4
560,465,1,1,1234,25
3095,466,1,1,1249,5
1330,467,2,1,906,24
689,467,2,2,11,37
1100,468,1,1,70,45
1099,468,1,1,820,31
1040,468,1,1,1199,36
885,468,2,1,1043,30
749,468,1,1,251,15
740,468,1,1,325,45
625,468,1,1,1434,15
1395,469,1,1,1137,39
1210,469,1,1,273,15
1100,469,0,1,1505,16
2000,470,1,1,1470,8
1995,470,1,1,117,5
1755,470,2,1,273,15
1625,470,1,1,794,5
1570,470,1,1,1470,8
1475,470,1,1,820,31
1040,470,2,1,1505,16
1039,470,1,1,40,23
1009,470,2,1,273,15
999,470,1,1,1505,16
800,470,1,1,35,1
550,470,3,1,139,16
3195,471,1,1,1249,5
1500,471,2,1,273,15
3300,472,1,1,1249,5
1206,472,1,1,1204,21
1165,472,2,1,1112,40
715,472,1,1,352,45
1210,473,2,1,370,6
3395,474,1,1,1249,5
960,474,3,1,1095,4
855,474,3,1,1553,10
1625,475,1,1,1031,5
1350,475,1,1,1137,39
1295,475,1,1,167,7
1150,475,2,1,729,39
1125,475,0,1,1137,39
1095,475,1,1,483,10
1050,475,1,1,61,11
940,475,1,1,70,45
933,475,2,1,1100,45
901,475,2,1,1100,45
900,475,2,1,240,13
847,475,2,1,156,10
740,475,1,1,280,37
721,475,1,1,1128,45
645,475,1,1,635,45
1200,476,2,1,70,45
845,476,1,1,352,45
690,476,1,1,1432,40
1610,477,3,1,1029,15
1350,477,1,1,1137,39
835,477,1,1,352,45
785,477,1,1,352,45
3095,478,1,1,1249,5
1875,478,0,1,503,5
535,478,2,1,563,28
1708,479,0,1,121,21
1295,479,0,1,1137,39
890,479,2,1,1480,50
829,479,2,1,70,45
687,479,1,1,352,45
495,479,1,1,403,24
2650,480,0,1,822,36
1747,480,0,1,1470,8
1102,480,2,1,70,45
969,480,1,1,1245,45
858,480,1,1,70,45
710,480,1,1,1102,4
689,480,1,1,251,15
669,480,1,1,53,45
575,480,1,1,892,23
1538,481,2,1,370,6
1145,481,3,1,1116,45
1014,481,1,1,70,45
990,481,1,1,70,45
926,481,1,1,70,45
922,481,1,1,70,45
845,481,1,1,70,45
711,482,1,1,741,35
1926,483,2,1,1470,8
1595,483,1,1,1441,5
875,483,3,1,1102,4
955,484,1,1,70,45
890,484,3,1,70,45
675,484,1,1,682,17
450,484,1,1,822,17
4200,485,1,1,1249,5
1220,485,1,1,273,15
1125,485,1,1,1505,16
925,485,1,1,251,15
895,485,2,1,1137,39
1499,486,1,1,370,6
1350,486,2,1,277,5
1235,486,1,1,1137,39
1093,486,1,1,273,15
1360,487,2,1,1324,32
859,487,1,1,70,45
615,487,3,1,1348,25
2394,488,2,1,1249,5
1799,488,1,1,625,12
1610,488,2,1,1470,8
1570,488,1,1,1470,8
1275,488,1,1,1137,39
1185,488,2,1,1243,46
1069,488,1,1,1053,10
895,488,2,1,470,50
1537,489,2,1,1103,5
1485,489,1,1,1271,5
1427,489,1,1,1103,5
1417,489,2,1,1103,5
1397,489,2,1,1103,5
1061,489,2,1,352,45
1575,490,2,1,161,5
1505,490,1,1,104,49
1500,490,0,1,794,5
1500,490,2,1,700,49
1250,490,1,1,292,37
1199,490,1,1,860,39
1160,490,2,1,127,27
1130,490,0,1,479,39
909,490,1,1,1098,47
800,490,2,1,1043,30
790,490,2,1,251,15
650,490,2,1,1245,45
1365,491,1,1,592,32
1249,491,2,1,906,24
1215,491,2,1,1137,39
1000,491,1,1,1219,45
919,491,1,1,70,45
869,491,1,1,70,45
1505,492,2,1,906,24
870,493,2,1,473,23
750,493,2,1,1112,40
995,494,1,1,1446,49
620,494,3,1,305,6
3600,495,2,1,1249,5
1825,495,1,1,597,5
1615,495,2,1,582,21
1495,495,0,1,786,5
1467,495,2,1,70,45
980,495,0,1,1245,45
929,495,1,1,70,45
888,495,1,1,70,45
800,495,1,1,70,45
1776,496,2,1,794,5
1540,496,2,1,1525,32
1375,496,2,1,906,24
1325,497,2,1,70,45
1295,497,1,1,906,24
1188,497,2,1,259,28
917,497,1,1,305,6
1665,498,2,1,582,21
1065,498,3,1,70,45
1631,499,2,1,786,5
1310,499,2,1,1137,39
817,499,2,1,866,44
799,499,2,1,811,50
2999,500,1,1,794,5
2250,500,1,1,1031,5
2160,500,1,1,1504,5
1995,500,2,1,1175,5
1885,500,1,1,794,5
1850,500,1,1,77,21
1799,500,4,1,273,15
1795,500,1,1,225,5
1700,500,2,1,1470,8
1695,500,2,1,1252,5
1635,500,0,1,980,36
1600,500,1,1,1191,36
1599,500,1,1,1388,10
1599,500,1,1,1248,5
1595,500,2,1,161,5
1585,500,1,1,161,5
1495,500,1,1,419,5
1410,500,2,1,453,47
1395,500,1,1,273,15
1365,500,1,1,788,6
1365,500,1,1,692,49
1350,500,0,1,1425,5
1345,500,2,1,70,45
1326,500,1,1,692,49
1305,500,2,1,1431,5
1300,500,1,1,59,39
1300,500,2,1,1239,24
1295,500,1,1,1248,5
1279,500,1,1,692,49
1250,500,1,1,1385,21
1248,500,2,1,1239,24
1245,500,1,1,784,31
1209,500,1,1,447,39
1195,500,1,1,1226,5
1145,500,1,1,811,50
1119,500,1,1,1053,10
1050,500,1,1,1137,39
1025,500,2,1,558,6
999,500,1,1,1053,10
995,500,1,1,1243,46
989,500,2,1,70,45
956,500,3,1,907,24
950,500,1,1,811,50
950,500,1,1,1254,45
949,500,1,1,70,45
944,500,1,1,70,45
935,500,2,1,305,6
925,500,1,1,1243,46
920,500,1,1,1112,40
900,500,2,1,70,45
895,500,0,1,77,21
890,500,1,1,65,2
875,500,1,1,1506,39
849,500,2,1,1572,23
840,500,1,1,762,45
835,500,1,1,70,45
829,500,2,1,1374,50
820,500,2,1,24,10
819,500,1,1,492,45
800,500,3,1,564,28
800,500,1,1,1311,39
800,500,1,1,1428,11
799,500,1,1,1040,38
780,500,1,1,35,1
775,500,1,1,308,45
760,500,1,1,352,45
750,500,1,1,405,23
747,500,2,1,35,1
739,500,1,1,705,44
736,500,1,1,352,45
729,500,1,1,352,45
725,500,1,1,904,50
700,500,1,1,113,48
695,500,1,1,552,23
660,500,1,1,722,16
650,500,1,1,352,45
645,500,1,1,682,25
625,500,1,1,547,29
615,500,1,1,722,16
615,500,2,1,251,15
605,500,2,1,1236,25
600,500,1,1,240,13
599,500,1,1,829,37
575,500,4,1,1348,25
575,500,1,1,460,33
565,500,2,1,722,16
560,500,1,1,635,45
555,500,3,1,1348,25
525,500,1,1,1505,16
510,500,0,1,763,18
501,500,1,1,326,43
495,500,4,1,129,2
495,500,1,1,908,29
495,500,2,1,682,25
475,500,1,2,976,40
365,500,1,1,914,2
2501,501,2,1,147,20
1405,501,1,1,811,50
885,501,1,1,70,45
1275,502,1,1,1137,39
949,502,3,1,139,16
935,502,2,1,1102,4
625,502,1,1,734,37
2195,503,2,1,794,5
1675,503,0,1,1470,8
841,503,1,1,70,45
2750,504,1,1,208,20
1554,504,3,2,448,45
1260,504,1,1,1348,47
950,504,1,1,251,15
889,504,2,1,369,45
795,504,2,1,564,42
785,504,1,1,35,1
742,504,1,1,448,45
680,504,1,1,635,45
540,504,1,1,635,45
1934,505,0,1,121,21
1626,505,1,1,760,32
1450,505,2,1,1287,49
1375,505,1,1,296,20
1138,505,2,1,70,45
1093,505,1,1,70,45
874,505,0,1,1245,45
675,505,1,1,352,45
675,505,1,1,1245,45
674,505,1,1,635,45
495,505,1,1,224,15
1630,506,2,1,957,44
1095,506,2,1,1287,49
855,506,1,1,70,45
1297,507,3,1,70,45
850,507,1,1,1023,7
822,507,1,1,800,45
2995,508,1,1,1249,5
1350,508,1,1,1137,39
1299,508,1,1,70,45
1200,508,1,1,1137,39
1050,508,2,1,70,45
775,508,2,1,352,45
973,509,1,1,1053,10
2050,510,1,1,1287,49
1640,510,1,1,148,49
1450,510,1,1,1137,39
1443,510,3,1,807,49
1246,510,1,1,1008,10
1239,510,1,1,1053,10
1225,510,3,1,811,50
1125,510,1,1,904,50
1050,510,1,1,768,30
1002,510,1,1,977,7
839,510,3,1,1053,10
770,510,1,1,1245,45
602,510,1,1,1426,45
600,510,1,1,635,45
577,510,1,1,1426,45
577,510,1,1,1426,45
565,510,3,1,1348,25
1755,511,2,1,406,32
1707,511,3,1,273,15
720,511,1,1,251,15
1350,512,1,1,906,24
1050,512,2,1,106,49
994,512,1,1,84,19
994,512,1,1,70,45
902,512,1,1,70,45
840,512,1,1,139,16
755,512,1,1,1112,40
1799,513,1,1,1470,8
1575,513,1,1,1253,5
850,513,2,1,70,45
1850,514,2,1,273,15
1799,514,0,1,1248,5
1745,514,1,1,897,7
1375,514,1,1,573,32
1300,514,3,1,745,20
1009,514,1,1,70,45
1900,515,2,1,273,15
1680,515,2,1,686,32
1305,515,2,1,77,21
1190,515,3,1,1088,41
1155,515,1,1,273,15
1120,515,2,1,139,16
1000,515,2,1,170,6
820,515,1,1,352,45
725,515,1,1,1043,30
694,515,1,1,635,45
555,515,3,1,1348,25
550,515,3,1,1348,25
545,515,4,1,1348,25
545,515,3,1,1348,25
1374,516,3,1,70,45
1130,516,1,1,70,45
1000,516,3,1,70,45
974,516,1,1,70,45
970,516,2,1,1463,49
1352,517,3,1,785,6
1250,517,1,1,273,15
949,517,2,1,1053,10
896,517,1,1,1245,45
1609,518,2,1,70,45
1600,518,2,1,70,45
1305,518,1,1,451,49
1060,518,1,1,352,45
