amenities,bathrooms,bedrooms,pets_allowed,square_feet,cityname,state,monthly_price
NA,1,1,none,250,burke,va,1045
NA,1,1,none,250,bellevue,wa,1025
NA,1,1,none,250,null,null,1025
NA,1,1,none,250,wilton,ca,1005
NA,1,1,none,250,woodland hills,ca,1000
NA,1,1,none,250,miami,fl,1000
NA,1,1,none,250,hyattsville,md,1000
NA,1,1,none,250,westminster,co,1000
NA,1,1,none,250,aurora,co,1000
NA,1,1,none,250,arvada,co,1000
NA,1,1,none,250,seal beach,ca,1000
pool,1,1,none,250,san marcos,ca,975
NA,1,1,none,250,medford lakes,nj,965
NA,1,1,none,250,glen burnie,md,955
NA,1,1,none,250,littleton,co,950
NA,1,1,none,250,aurora,co,950
NA,1,1,none,250,concord,ca,930
NA,1,1,none,250,lafayette,co,925
NA,1,1,none,250,chula vista,ca,925
pool,1,1,none,250,glen burnie,md,925
NA,1,1,none,250,highlands ranch,co,915
pool,1,1,none,250,laurel,md,900
pool,1,1,none,250,orlando,fl,900
NA,1,1,none,250,boulder,co,900
NA,1,1,none,250,aurora,co,900
pool,1,1,none,250,la puente,ca,900
NA,1,1,none,250,anaheim,ca,900
NA,1,1,none,250,commerce city,co,895
NA,1,1,none,250,arvada,co,895
NA,1,1,none,250,arlington,va,875
NA,1,1,none,250,naples,fl,865
pool,1,1,none,250,atlanta,ga,865
pool,1,1,none,250,sarasota,fl,860
NA,1,1,none,250,aurora,co,855
pool,1,1,none,250,lorton,va,850
"cable or satellite,internet access,parking,refrigerator",1,1,none,250,fort lupton,co,850
pool,1,1,none,250,woodbridge,va,850
NA,1,1,none,250,nashville,tn,850
NA,1,1,none,250,saint petersburg,fl,850
NA,1,1,none,250,portland,or,850
NA,1,1,none,250,joppa,md,825
pool,1,1,none,250,atlanta,ga,805
NA,1,1,none,250,broomfield,co,800
pool,1,1,none,250,englewood,co,800
NA,1,1,none,250,potomac,md,800
NA,1,1,none,250,deltona,fl,800
NA,1,1,none,250,lodi,ca,800
NA,1,1,none,250,jacksonville,fl,800
NA,1,1,none,250,parker,co,795
NA,1,1,none,250,fountain,co,785
NA,1,1,none,250,fort collins,co,785
NA,1,1,none,250,loveland,co,760
pool,1,1,none,250,longwood,fl,755
NA,1,1,none,250,bear,de,755
NA,1,1,none,250,hummelstown,pa,755
NA,1,1,none,250,riverside,ca,750
NA,1,1,none,250,port saint lucie,fl,750
pool,1,1,none,250,germantown,md,750
NA,1,1,none,250,charlotte,nc,750
NA,1,1,none,250,nashville,tn,725
NA,1,1,none,250,hiram,ga,725
NA,1,1,none,250,converse,tx,720
pool,1,1,none,250,houston,tx,705
pool,1,1,none,250,apache junction,az,700
pool,1,1,none,250,austin,tx,700
NA,1,1,none,250,broomfield,co,700
pool,1,1,none,250,scottsdale,az,700
NA,1,1,none,250,orlando,fl,700
pool,1,1,none,250,baltimore,md,700
NA,1,1,none,250,centennial,co,700
NA,1,1,none,250,lakewood,co,700
NA,1,1,none,250,kyle,tx,700
"internet access,parking,refrigerator",1,0,"cats,dogs",250,cedar falls,ia,695
NA,1,1,none,250,summit,il,695
NA,1,1,none,250,columbia,sc,685
pool,1,1,none,250,phoenix,az,685
NA,1,1,none,250,houston,tx,675
NA,1,1,none,250,coon rapids,mn,675
NA,1,1,none,250,phoenix,az,660
pool,1,1,none,250,baltimore,md,650
NA,1,1,none,250,salem,or,650
NA,1,1,none,250,chiefland,fl,650
NA,1,1,none,250,san antonio,tx,650
pool,1,1,none,250,antioch,tn,650
pool,1,1,none,250,surfside beach,sc,645
pool,1,1,none,250,charlotte,nc,645
pool,1,1,none,250,venice,fl,625
pool,1,1,none,250,null,null,625
NA,1,1,none,250,phoenix,az,610
pool,1,1,none,250,spring hill,fl,600
pool,1,1,none,250,tucson,az,600
pool,1,1,none,250,dunwoody,ga,600
NA,1,1,none,250,santa cruz,ca,600
NA,1,1,none,250,tampa,fl,600
NA,1,1,none,250,houghton,mi,600
NA,1,1,none,250,raleigh,nc,600
NA,1,1,none,250,new canton,va,595
pool,1,1,none,250,vero beach,fl,580
NA,1,1,none,250,coatesville,pa,575
NA,1,1,none,250,winter springs,fl,575
NA,1,1,none,250,clarksville,md,550
pool,1,1,none,250,springfield,va,550
pool,1,1,none,250,little river,sc,500
pool,1,1,none,250,bacliff,tx,500
NA,1,1,none,250,paulden,az,500
"cable or satellite,dishwasher,garbage disposal,parking,refrigerator",1,1,"cats,dogs",250,frankfort,ky,499
pool,1,1,none,250,phoenix,az,495
NA,1,1,none,250,mount airy,md,200
NA,1,0,"cats,dogs",253,seattle,wa,1325
NA,1,0,"cats,dogs",255,kirkland,wa,1400
"cable or satellite,dishwasher,internet access,parking,refrigerator",1,0,"cats,dogs",258,san francisco,ca,1995
"parking,storage",1,1,cats,265,madison,wi,710
"dishwasher,fireplace,garbage disposal,parking,patio/deck,refrigerator",1,1,"cats,dogs",272,washington,dc,1659
NA,1,1,none,272,san leandro,ca,1600
"cable or satellite,internet access,parking,patio/deck,refrigerator,storage",1,1,"cats,dogs",273,bloomington,in,850
NA,1,0,cats,275,corona del mar,ca,1900
NA,1,1,none,275,los angeles,ca,1505
pool,1,1,none,275,gilbert,az,900
"cable or satellite,refrigerator",1,0,cats,275,chicago,il,892
NA,1,1,none,275,cincinnati,oh,705
pool,1,1,none,280,oxon hill,md,1240
NA,1,1,"cats,dogs",285,anchorage,ak,870
NA,1,0,"cats,dogs",286,chicago,il,1095
NA,1,0,"cats,dogs",288,seattle,wa,1350
"ac,cable or satellite,internet access,parking,storage,washer dryer",1,1,none,288,oakdale,pa,865
"basketball,cable or satellite,dishwasher,playground,pool,refrigerator",1,1,"cats,dogs",288,tampa,fl,690
NA,1,0,"cats,dogs",290,portland,or,1099
"cable or satellite,internet access,parking,patio/deck,refrigerator",1,1,cats,290,minneapolis,mn,700
NA,1,0,none,296,iowa city,ia,850
NA,1,0,"cats,dogs",300,palo alto,ca,2200
"cable or satellite,internet access,refrigerator",1,1,none,300,ramsey,nj,2112
"cable or satellite,internet access,refrigerator",1,1,none,300,monrovia,ca,1868
"cable or satellite,internet access,parking,refrigerator",1,1,none,300,farmington,ct,1785
"cable or satellite,elevator,gated,gym,refrigerator",1,1,"cats,dogs",300,los angeles,ca,1575
"cable or satellite,internet access,parking,refrigerator",1,1,none,300,gaithersburg,md,1534
"cable or satellite,internet access,refrigerator",1,1,none,300,manchester,ct,1470
"cable or satellite,internet access,refrigerator",1,1,none,300,glen burnie,md,1470
"cable or satellite,internet access,refrigerator",1,1,"cats,dogs",300,columbia,md,1470
"cable or satellite,elevator,internet access,parking,refrigerator",1,2,none,300,brooklyn,ny,1425
"cable or satellite,internet access,refrigerator",1,1,none,300,linthicum heights,md,1386
NA,1,0,none,300,seattle,wa,1195
NA,1,1,"cats,dogs",300,chicago,il,995
NA,1,0,none,300,long beach,ca,975
"cable or satellite,internet access,parking,refrigerator",1,1,"cats,dogs",300,chicago,il,911
NA,1,0,"cats,dogs",300,austin,tx,900
pool,1,1,none,300,fort collins,co,800
NA,1,1,none,300,decatur,ga,800
NA,1,1,none,300,denver,co,795
parking,1,1,cats,300,sarasota,fl,795
"cable or satellite,internet access,parking,refrigerator",1,1,"cats,dogs",300,milwaukee,wi,775
NA,1,0,none,300,chicago,il,760
pool,1,1,none,300,wesley chapel,fl,750
NA,1,1,none,300,tiverton,ri,725
NA,1,1,none,300,stockbridge,ga,700
"parking,refrigerator",1,1,none,300,columbus,oh,650
NA,1,1,"cats,dogs",300,grand junction,co,595
"cable or satellite,garbage disposal,internet access,parking,pool,refrigerator",1,1,cats,300,bloomington,in,590
"cable or satellite,dishwasher,garbage disposal,internet access,parking,pool,refrigerator",1,2,none,300,bloomington,in,590
"cable or satellite,dishwasher,garbage disposal,internet access,parking,pool,refrigerator",1,2,none,300,bloomington,in,585
"cable or satellite,dishwasher,garbage disposal,internet access,parking,refrigerator",1,2,none,300,champaign,il,580
NA,1,1,none,300,raleigh,nc,400
"cable or satellite,pool,refrigerator,storage,tv",0,NA,"cats,dogs",300,lakeland,fl,275
"cable or satellite,elevator,garbage disposal,parking,refrigerator,storage",1,1,"cats,dogs",301,reno,nv,1195
"cable or satellite,elevator,garbage disposal,internet access,parking,patio/deck,refrigerator",1,1,"cats,dogs",306,reno,nv,1094
"dishwasher,garbage disposal,parking,refrigerator",1,0,none,308,west lafayette,in,725
NA,1,0,"cats,dogs",309,portland,or,1099
"cable or satellite,dishwasher,garbage disposal,parking,pool,refrigerator",1,2,none,310,lowell,ma,1222
"dishwasher,refrigerator",1,0,"cats,dogs",313,san francisco,ca,2195
"dishwasher,garbage disposal,parking,refrigerator,storage",1,1,"cats,dogs",313,indianapolis,in,760
"basketball,cable or satellite,clubhouse,dishwasher,garbage disposal,hot tub,internet access,parking,pool,refrigerator,tennis",1,2,none,314,ogden,ut,650
"dishwasher,parking,refrigerator",1,0,"cats,dogs",315,san francisco,ca,2695
dishwasher,1,2,cats,315,anchorage,ak,730
NA,1,0,"cats,dogs",315,lexington,ky,659
"dishwasher,parking,refrigerator",1,1,"cats,dogs",317,lafayette,in,775
NA,1,0,none,318,chevy chase,md,1350
"cable or satellite,dishwasher,elevator,internet access,parking,patio/deck,refrigerator",1,1,"cats,dogs",319,chicago,il,1100
"cable or satellite,internet access,parking,refrigerator",1,1,cats,320,chicago,il,965
"cable or satellite,gated,internet access,parking,patio/deck,refrigerator",1,0,none,320,cleveland,oh,675
NA,1,1,none,321,lakewood,co,925
NA,1,1,"cats,dogs",322,milwaukee,wi,845
parking,1,2,none,324,madison,wi,700
wood floors,1,2,none,325,boston,ma,2700
NA,1,2,cats,325,redondo beach,ca,1995
NA,1,1,dogs,325,seattle,wa,1350
NA,1,2,"cats,dogs",325,chicago,il,1349
"cable or satellite,dishwasher,elevator,garbage disposal,parking,patio/deck,pool,refrigerator",1,2,"cats,dogs",325,las vegas,nv,975
"cable or satellite,dishwasher,internet access,parking,refrigerator",1,0,cats,325,chicago,il,925
dishwasher,1,2,"cats,dogs",325,chicago,il,899
NA,1,2,"cats,dogs",325,bridgeport,ct,700
"parking,refrigerator",1,2,cats,325,toledo,oh,325
pool,1,1,cats,330,denver,co,915
"dishwasher,garbage disposal,parking,patio/deck,refrigerator",1,0,none,330,west lafayette,in,799
storage,1,1,"cats,dogs",330,kansas city,mo,710
"dishwasher,refrigerator",1,2,"cats,dogs",332,san francisco,ca,2695
"dishwasher,refrigerator",1,1,"cats,dogs",332,san francisco,ca,2295
NA,1,2,cats,333,denver,co,1079
NA,1,2,none,334,austin,tx,1386
NA,1,1,"cats,dogs",335,des moines,ia,800
"dishwasher,parking,refrigerator",1,0,"cats,dogs",336,san francisco,ca,2195
NA,1,2,cats,336,shorewood,wi,1100
"parking,refrigerator",1,1,"cats,dogs",336,tampa,fl,1099
"hot tub,parking,patio/deck,pool,refrigerator,view",1,0,none,336,tucson,az,625
NA,1,2,none,337,austin,tx,809
refrigerator,1,0,"cats,dogs",338,san francisco,ca,2295
"cable or satellite,clubhouse,dishwasher,elevator,garbage disposal,hot tub,internet access,parking,patio/deck,pool,refrigerator,storage",1,2,"cats,dogs",338,gainesville,fl,1160
"cable or satellite,internet access,parking",1,2,none,338,wausau,wi,998
"cable or satellite,elevator,parking,refrigerator,storage",1,2,"cats,dogs",338,portland,or,990
"parking,refrigerator",1,1,none,340,madison,wi,785
"dishwasher,garbage disposal,parking,patio/deck,refrigerator",1,2,none,340,west lafayette,in,720
"cable or satellite,clubhouse,dishwasher,elevator,garbage disposal,hot tub,internet access,parking,patio/deck,pool,refrigerator",1,0,"cats,dogs",341,tempe,az,1240
refrigerator,1,0,none,342,san francisco,ca,2395
"dishwasher,garbage disposal,parking,patio/deck,refrigerator",1,2,"cats,dogs",342,lafayette,in,480
"cable or satellite,clubhouse,elevator,gated,internet access,parking,patio/deck,pool,refrigerator",1,0,"cats,dogs",344,chattanooga,tn,800
"dishwasher,patio/deck",1,1,"cats,dogs",346,seattle,wa,1655
"cable or satellite,parking,patio/deck,refrigerator,storage",1,1,cats,346,minneapolis,mn,899
NA,1,1,"cats,dogs",347,saint louis,mo,600
"dishwasher,parking,storage",1,2,"cats,dogs",348,kansas city,mo,699
refrigerator,1,0,none,350,san francisco,ca,2195
"elevator,internet access,parking",1,2,none,350,ann arbor,mi,1670
pool,1,1,none,350,san jose,ca,1650
parking,1,2,"cats,dogs",350,washington,dc,1550
NA,1,0,"cats,dogs",350,los angeles,ca,1400
NA,1,0,"cats,dogs",350,portland,or,1299
NA,1,0,"cats,dogs",350,seattle,wa,1299
"alarm,cable or satellite,clubhouse,dishwasher,elevator,garbage disposal,gated,internet access,parking,patio/deck,refrigerator,storage",1,2,cats,350,haverhill,ma,1200
NA,1,1,"cats,dogs",350,philadelphia,pa,1145
"cable or satellite,fireplace,garbage disposal,internet access,parking,refrigerator",1,1,cats,350,madison,wi,1000
NA,1,0,none,350,chicago,il,940
"cable or satellite,dishwasher,fireplace,internet access,parking,patio/deck,pool,refrigerator",1,2,"cats,dogs",350,westerville,oh,895
NA,1,0,"cats,dogs",350,austin,tx,875
NA,0,1,"cats,dogs",350,scottsdale,az,849
refrigerator,1,1,none,350,chicago,il,800
NA,1,0,"cats,dogs",350,spokane,wa,710
"parking,patio/deck",1,0,"cats,dogs",350,cumberland,md,699
patio/deck,1,2,"cats,dogs",350,anchorage,ak,695
NA,0,0,none,350,syracuse,ny,600
"parking,refrigerator",1,0,"cats,dogs",350,tucson,az,592
"cable or satellite,dishwasher,elevator,garbage disposal,internet access,parking,patio/deck,refrigerator",1,1,"cats,dogs",351,portland,or,1225
NA,1,2,none,352,austin,tx,1246
"elevator,patio/deck",1,0,"cats,dogs",352,los angeles,ca,1225
"cable or satellite,garbage disposal,parking,patio/deck,pool,refrigerator",1,1,"cats,dogs",354,lees summit,mo,675
NA,1,0,"cats,dogs",355,los angeles,ca,1400
"cable or satellite,internet access,parking,refrigerator",1,1,none,355,urbana,il,585
"dishwasher,parking,storage",1,2,"cats,dogs",357,chicago,il,1125
"cable or satellite,gated,parking",1,2,none,357,cleveland,oh,614
NA,1,2,"cats,dogs",360,east orange,nj,1225
NA,1,2,"cats,dogs",360,salem,or,875
NA,1,2,none,360,austin,tx,850
parking,1,1,none,360,madison,wi,670
"dishwasher,parking,patio/deck",1,1,none,360,champaign,il,639
"parking,refrigerator",1,1,"cats,dogs",360,tulsa,ok,495
"cable or satellite,dishwasher,elevator,garbage disposal,internet access,parking,patio/deck,refrigerator",1,2,"cats,dogs",362,washington,dc,1750
NA,1,1,"cats,dogs",362,chicago,il,1050
NA,1,0,none,362,austin,tx,950
NA,1,2,none,367,portland,or,1200
parking,1,1,"cats,dogs",367,chicago,il,985
NA,1,2,cats,368,hamden,ct,965
"cable or satellite,parking,refrigerator",1,1,cats,368,north muskegon,mi,530
NA,1,2,"cats,dogs",369,seattle,wa,1530
"gated,parking",1,1,none,369,long beach,ca,1000
"dishwasher,parking,storage",1,1,"cats,dogs",369,kansas city,mo,720
NA,1,0,none,370,new brunswick,nj,1225
NA,1,1,cats,370,portland,or,1025
"cable or satellite,dishwasher,parking,patio/deck,refrigerator",1,1,"cats,dogs",370,alvin,tx,765
"dishwasher,parking,pool,refrigerator",1,1,"cats,dogs",375,santa monica,ca,1975
NA,1,1,none,375,san diego,ca,1525
"cable or satellite,dishwasher,elevator,garbage disposal,internet access,parking,patio/deck,refrigerator",1,1,none,375,portland,or,1175
"dishwasher,parking,pool",1,2,none,375,austin,tx,940
"cable or satellite,internet access,parking,patio/deck,refrigerator",1,1,none,375,west lafayette,in,850
NA,1,1,"cats,dogs",375,phoenix,az,829
"dishwasher,garbage disposal,parking,patio/deck,refrigerator",1,0,none,375,west lafayette,in,799
"cable or satellite,internet access,parking,refrigerator",1,2,cats,375,minneapolis,mn,773
"clubhouse,parking,refrigerator",1,1,"cats,dogs",375,edgerton,wi,386
"cable or satellite,dishwasher,parking,patio/deck,playground,pool,refrigerator",1,2,"cats,dogs",377,miami,fl,1400
"dishwasher,patio/deck,refrigerator,storage",1,1,cats,378,san francisco,ca,3095
"cable or satellite,dishwasher,elevator,internet access,parking,refrigerator",1,2,"cats,dogs",378,portland,or,1275
NA,1,0,none,378,austin,tx,929
"ac,dishwasher,gated,hot tub,internet access,parking,patio/deck,playground,pool",1,2,"cats,dogs",379,cerritos,ca,1591
"dishwasher,refrigerator",1,1,"cats,dogs",380,san francisco,ca,2895
"dishwasher,parking,refrigerator",1,0,"cats,dogs",380,san francisco,ca,2695
NA,1,0,none,380,san diego,ca,1400
NA,1,2,cats,380,anchorage,ak,955
"basketball,cable or satellite,dishwasher,garbage disposal,internet access,parking,pool,refrigerator",1,1,"cats,dogs",380,tucson,az,540
"dishwasher,refrigerator",1,2,"cats,dogs",381,san francisco,ca,2895
"cable or satellite,dishwasher,internet access,parking,refrigerator",1,2,none,382,san francisco,ca,2874
"cable or satellite,dishwasher,internet access,parking,patio/deck,pool,refrigerator",1,2,"cats,dogs",382,knoxville,tn,635
dishwasher,1,1,"cats,dogs",384,chicago,il,902
refrigerator,1,0,"cats,dogs",385,san francisco,ca,2395
NA,1,1,"cats,dogs",385,portland,or,1250
"cable or satellite,dishwasher,garbage disposal,internet access,parking,pool,refrigerator",1,1,none,385,bloomington,in,540
"parking,refrigerator,wood floors",1,1,none,385,central city,ky,350
"dishwasher,elevator,fireplace,hot tub,internet access,patio/deck,refrigerator,storage,view",1,2,"cats,dogs",386,portland,or,1262
"clubhouse,dishwasher,garbage disposal,parking,refrigerator,storage",1,0,"cats,dogs",389,portland,or,1115
"cable or satellite,clubhouse,dishwasher,elevator,garbage disposal,internet access,parking,patio/deck,pool,refrigerator,tv",1,2,"cats,dogs",390,providence,ri,2095
"cable or satellite,clubhouse,dishwasher,doorman,elevator,garbage disposal,internet access,parking,patio/deck,refrigerator,storage",1,1,"cats,dogs",390,washington,dc,1800
"dishwasher,hot tub,parking,patio/deck,pool,refrigerator,storage,tennis",1,2,"cats,dogs",390,orlando,fl,879
"dishwasher,parking,patio/deck,refrigerator",1,1,none,390,west lafayette,in,699
refrigerator,1,1,none,390,urbana,il,640
"gym,hot tub,patio/deck,pool,wood floors",1,1,none,391,austin,tx,999
"ac,storage",1,1,none,391,austin,tx,959
NA,1,0,none,393,washington,dc,1654
"cable or satellite,dishwasher,gated,internet access,parking,pool,refrigerator",1,2,"cats,dogs",393,castle hills,tx,995
NA,1,0,none,394,austin,tx,919
NA,1,0,"cats,dogs",395,los angeles,ca,1350
NA,1,1,"cats,dogs",395,chicago,il,1045
"dishwasher,parking,pool",1,2,none,395,austin,tx,976
"cable or satellite,dishwasher,garbage disposal,internet access,parking,patio/deck,refrigerator",1,2,none,395,bellingham,wa,762
NA,1,1,none,396,austin,tx,1050
"cable or satellite,dishwasher,elevator,garbage disposal,internet access,parking,refrigerator,view",1,1,none,397,portland,or,1225
"dishwasher,refrigerator",1,2,"cats,dogs",398,san francisco,ca,2495
"dishwasher,parking,patio/deck",1,1,"cats,dogs",398,chicago,il,1173
"patio/deck,wood floors",1,2,none,398,austin,tx,1005
NA,1,2,"cats,dogs",398,austin,tx,1000
NA,1,2,none,398,austin,tx,875
pool,1,2,none,400,dania beach,fl,3000
"dishwasher,refrigerator",1,0,none,400,santa monica,ca,2450
pool,1,1,none,400,anaheim,ca,2050
"cable or satellite,dishwasher,elevator,internet access,parking,patio/deck,refrigerator,storage",1,0,"cats,dogs",400,washington,dc,1659
NA,1,1,none,400,auburn,wa,1625
"elevator,parking,refrigerator",1,2,none,400,null,null,1599
"elevator,refrigerator",1,0,none,400,briarwood,ny,1599
pool,1,1,none,400,null,null,1580
pool,1,1,none,400,san marcos,ca,1500
pool,1,1,none,400,anaheim,ca,1500
NA,1,0,none,400,san diego,ca,1450
NA,1,1,none,400,san rafael,ca,1415
NA,1,1,none,400,aurora,co,1400
"parking,patio/deck",1,1,cats,400,ann arbor,mi,1395
NA,1,1,"cats,dogs",400,la mesa,ca,1375
NA,1,1,none,400,bellflower,ca,1355
NA,1,1,none,400,washington,dc,1345
NA,1,1,none,400,somerville,ma,1250
"dishwasher,parking,storage",1,2,"cats,dogs",400,chicago,il,1242
"cable or satellite,dishwasher,elevator,garbage disposal,internet access,parking,patio/deck,refrigerator",1,1,"cats,dogs",400,portland,or,1225
NA,1,1,none,400,san jose,ca,1215
pool,1,1,none,400,phoenix,az,1200
"cable or satellite,parking,patio/deck,playground,refrigerator,storage",1,1,"cats,dogs",400,madison,wi,1160
NA,1,1,none,400,owings mills,md,1150
NA,1,1,none,400,arvada,co,1100
"parking,wood floors",1,1,none,400,portsmouth,nh,1100
"gated,parking,refrigerator",1,2,"cats,dogs",400,tampa,fl,1099
"dishwasher,parking,pool",1,1,none,400,austin,tx,1095
"gym,pool,tennis",1,2,none,400,austin,tx,1090
NA,1,2,none,400,austin,tx,1085
NA,1,1,"cats,dogs",400,chicago,il,1050
"clubhouse,pool,tennis,view",1,2,none,400,austin,tx,1045
"clubhouse,pool",1,2,none,400,austin,tx,1040
pool,1,1,none,400,pembroke pines,fl,1035
NA,1,2,"cats,dogs",400,aurora,co,1012
"cable or satellite,dishwasher,elevator,parking,patio/deck,refrigerator",1,1,"cats,dogs",400,philadelphia,pa,1000
NA,1,1,none,400,tacoma,wa,1000
NA,1,1,dogs,400,minneapolis,mn,995
NA,1,3,none,400,austin,tx,975
NA,1,0,cats,400,austin,tx,975
NA,1,1,none,400,pembroke pines,fl,975
NA,1,1,none,400,clayton,nc,950
"cable or satellite,dishwasher,internet access,parking,refrigerator",1,2,cats,400,minneapolis,mn,945
NA,1,0,dogs,400,austin,tx,925
NA,1,1,none,400,roswell,ga,925
"parking,washer dryer",1,1,cats,400,newmarket,nh,925
NA,1,1,none,400,saint louis park,mn,919
NA,1,1,none,400,boulder,co,910
NA,1,3,none,400,austin,tx,900
NA,1,1,none,400,manassas,va,900
pool,1,1,none,400,austin,tx,900
"ac,cable or satellite,patio/deck,wood floors",1,1,"cats,dogs",400,newport news,va,899
NA,1,2,"cats,dogs",400,austin,tx,895
NA,1,0,none,400,austin,tx,895
NA,1,0,"cats,dogs",400,austin,tx,895
NA,1,0,"cats,dogs",400,austin,tx,895
NA,1,1,none,400,thornton,co,875
NA,1,2,none,400,austin,tx,875
NA,1,1,none,400,gresham,or,875
NA,1,1,none,400,west hartford,ct,865
NA,1,2,none,400,austin,tx,857
NA,1,0,"cats,dogs",400,houston,tx,850
NA,1,1,none,400,null,null,850
NA,1,1,none,400,houston,tx,850
NA,1,1,none,400,fort lupton,co,845
"cable or satellite,gated,parking,refrigerator,wood floors",1,0,none,400,baltimore,md,829
NA,1,1,none,400,aurora,co,800
"cable or satellite,internet access,parking,refrigerator",1,1,none,400,west lafayette,in,799
"cable or satellite,dishwasher,doorman,parking,patio/deck,refrigerator,storage,view",1,2,"cats,dogs",400,chicago,il,799
"ac,basketball,cable or satellite,clubhouse,dishwasher,fireplace,gated,gym,hot tub,internet access,parking,patio/deck,pool,washer dryer",1.5,0,none,400,las vegas,nv,750
NA,1,2,none,400,forest lake,mn,720
"cable or satellite,refrigerator",1,1,cats,400,columbus,oh,720
NA,1,1,none,400,longmont,co,700
NA,1,1,none,400,denver,co,700
"dishwasher,internet access,parking,refrigerator",1,2,"cats,dogs",400,cameron,tx,695
pool,1,1,none,400,jacksonville,fl,691
NA,1,1,none,400,miami,fl,690
NA,1,1,none,400,bloomington,in,660
NA,1,0,"cats,dogs",400,omaha,ne,615
pool,1,1,none,400,north fort myers,fl,600
NA,1,1,none,400,denver,co,600
"dishwasher,parking,refrigerator",1,2,none,400,lafayette,in,599
"ac,parking,refrigerator,wood floors",1,0,cats,400,greensboro,nc,500
"ac,cable or satellite,clubhouse,dishwasher,patio/deck,playground,tennis,washer dryer",1,1,"cats,dogs",400,shreveport,la,499
NA,1,1,none,400,denver,co,475
NA,1,1,none,400,youngstown,oh,435
NA,1,2,"cats,dogs",400,minot,nd,425
"cable or satellite,dishwasher,parking,refrigerator",1,2,none,400,port arthur,tx,300
"dishwasher,parking,pool",1,1,none,401,austin,tx,975
NA,1,2,"cats,dogs",402,cambridge,ma,2460
